Day,Week,Date,Module,Module Text,Topics,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,Mapping,Mentor Dictionary
Day37,Week19,2019-01-05,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day38,Week19,2019-01-06,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day39,Week20,2019-01-12,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day40,Week20,2019-01-13,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day41,Week21,2019-01-19,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day42,Week21,2019-01-20,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day43,Week22,2019-01-26,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day44,Week22,2019-01-27,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,
Day45,Week23,2019-02-02,CSE 9099,PHD: Hackathon,,,,,,,,,
Day46,Week23,2019-02-03,CSE 9099,PHD: Hackathon,,,,,,,,,
Day47,Week24,2019-02-09,CSE 9099,PHD: Hackathon,,,,,,,,,
Day48,Week24,2019-02-10,CSE 9099,PHD: Hackathon,,,,,,,,,
