Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day21,Week11,06-04-2019,CUTe,CSE 7305c,,,,,,,,,,,,,,
Day22,Week11,07-04-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining - TF-IDF, Matrix Factorization (SVD)",Dr. Manoj Duse,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,10.08,Dr. Rohit Lotlikar,3.36,Dr. Anand Narasimhamurthy,3.36,Dr. Kishore Konda,3.2,"['Text Mining - TF-IDF, Matrix Factorization (SVD)']","{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Manoj Duse': 10.080000000000002, 'Dr. Kishore Konda': 3.2, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day23,Week12,13-04-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining – Page Rank, Text Classification & Sentiment Analysis",Dr. Manoj Duse,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,10.08,Dr. Rohit Lotlikar,3.36,Dr. Surya Kompalli,3.2,Dr. Manish Gupta,3,"['Text Mining - Page Rank, Text Classification & Sentiment Analysis']","{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Manoj Duse': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0}"
Day24,Week12,14-04-2019,CSE 7120c,The Art and Science of Storytelling with Data Visualizations,Art and Science of Data Visualization,Dr. Anand Lakshmanan,Dr. Praphul Chandra,10.08,Dr. Anand Lakshmanan,6.3,Dr. Manoj Duse,3.36,Dr. Sridhar Pappu,3.2,Dr. Surya Kompalli,3.2,['Art and Science of Data Visualisation'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Anand Lakshmanan': 6.300000000000002, 'Dr. Sridhar Pappu': 3.2, 'Dr. Manoj Duse': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0}"
Day25,Week13,20-04-2019,LAB DAY,CSE 7120c,,,,,,,,,,,,,,
Day26,Week13,21-04-2019,CSE 7321c – AI,AI and Decision Sciences,ANN,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Rohit Lotlikar,10.08,Dr. Manoj Duse,6.72,Dr. Kishore Konda,4.8,Dr. Anand Narasimhamurthy,3.36,['ANN'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 10.080000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day27,Week14,27-04-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day28,Week14,28-04-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day29,Week15,04-05-2019,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Kishore Konda,4.8,Dr. Rohit Lotlikar,3.36,Dr. Manoj Duse,3.36,Dr. Sreerama Murthy,3,['Deep Learning'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Manoj Duse': 3.3600000000000003, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0}"
Day30,Week15,05-05-2019,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Kishore Konda,4.8,Dr. Rohit Lotlikar,3.36,Dr. Manoj Duse,3.36,Dr. Sreerama Murthy,3,['CNN'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Manoj Duse': 3.3600000000000003, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0}"
Day31,Week16,11-05-2019,CSE 7321c – AI,AI and Decision Sciences,RNN & LSTM,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Kishore Konda,4.8,Dr. Manoj Duse,3.36,Dr. Sreerama Murthy,3,Dr. Dakshinamurthy Kolluru,1.6,['RNN & LSTM'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Manoj Duse': 3.3600000000000003, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0}"
Day32,Week16,12-05-2019,CSE 7321c,AI and Decision Sciences,Linear Programming,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,10.08,Dr. Anand Narasimhamurthy,6.72,Dr. Rohit Lotlikar,3.36,Dr. Surya Kompalli,3.2,['Linear Programming'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Manoj Duse': 10.080000000000002, 'Dr. Kishore Konda': 1.6, 'Dr. Anand Jayaraman': 1.6, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 3.0, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day33,Week17,18-05-2019,CSE 7321c,AI and Decision Sciences,Monte Carlo Simulations & Genetic Algorithm,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Rohit Lotlikar,3.36,Dr. Anand Narasimhamurthy,3.36,Dr. Kishore Konda,3.2,Dr. Surya Kompalli,3.2,['Monte Carlo Simulations & Genetic Algorithm'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Kishore Konda': 3.2, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 3.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day34,Week17,19-05-2019,CUTe,CSE 7321c,,,,,,,,,,,,,,
Day35,Week18,25-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Manoj Duse,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,10.08,Dr. Surya Kompalli,3.2,Dr. Sreerama Murthy,2,Dr. Dakshinamurthy Kolluru,1.6,['Big Data'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Manoj Duse': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0}"
Day36,Week18,26-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Manoj Duse,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,10.08,Dr. Surya Kompalli,3.2,Dr. Sreerama Murthy,2,Dr. Dakshinamurthy Kolluru,1.6,['Big Data'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Manoj Duse': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0}"
Day37,Week19,01-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day38,Week19,02-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day39,Week20,08-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day40,Week20,09-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day41,Week21,15-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day42,Week21,16-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day43,Week22,22-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day44,Week22,23-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day45,Week23,29-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day46,Week23,30-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day47,Week24,06-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day48,Week24,07-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
